Record ID,Function,Family,Job Code,Job,PC,Level,Base Salary-Average,Base Salary-#Orgs,Base Salary-#Cases,Base Salary-10th,Base Salary-25th,Base Salary-Median,Base Salary-75th,Base Salary-90th,Total Guaranteed Compensation-Average,Total Guaranteed Compensation-#Orgs,Total Guaranteed Compensation-#Cases,Total Guaranteed Compensation-10th,Total Guaranteed Compensation-25th,Total Guaranteed Compensation-Median,Total Guaranteed Compensation-75th,Total Guaranteed Compensation-90th,Actual Total Compensation-Average,Actual Total Compensation-#Orgs,Actual Total Compensation-#Cases,Actual Total Compensation-10th,Actual Total Compensation-25th,Actual Total Compensation-Median,Actual Total Compensation-75th,Actual Total Compensation-90th,country
144,Actual Data,Operations,CCB.06.013,Banking Operations,50,Team Member,130758,8,390,,110467,120258,165048,,131510,8,390,,110467,120383,166741,,139725,8,390,,110795,130440,177824,,
145,Actual Data,Operations,CCB.06.013,Banking Operations,51,Team Leader,141305,4,48,,,144481,,,141352,4,48,,,144576,,,147814,4,48,,,149209,,,
146,Actual Data,Operations,CCB.06.013,Banking Operations,52,Team Leader,183555,7,53,,170564,180000,197066,,184367,7,53,,170564,183801,197066,,201956,7,53,,182411,200115,222557,,
147,Actual Data,Operations,CCB.06.013,Banking Operations,53,Team Leader,252978,5,11,,235106,262044,266316,,253020,5,11,,235106,262044,266422,,280667,5,11,,266774,280464,294663,,
148,Actual Data,Operations,CCB.06.013,Banking Operations,54,Team Leader,258010,9,43,,209521,250446,322279,,263734,9,43,,209626,250446,332155,,287584,9,43,,240052,272946,332155,,
149,Actual Data,Operations,CCB.06.013,Banking Operations,55,Team Leader,277767,4,9,,,277480,,,278430,4,9,,,277480,,,325662,4,9,,,324884,,,
150,Actual Data,Operations,CCB.06.013,Banking Operations,56,Manager,368711,8,22,,333966,380816,401337,,369477,8,22,,338561,380816,401337,,421284,8,22,,390000,423477,449294,,
151,Actual Data,Operations,CCB.06.013,Banking Operations,58,Manager,466883,3,7,,,,,,466967,3,7,,,,,,587881,3,7,,,,,,
152,Actual Data,Operations,CCB.06.013,Banking Operations,59,Director,503942,5,5,,483312,492000,530543,,505038,5,5,,483312,493008,532779,,688251,5,5,,634150,667701,752628,,
153,Actual Data,Operations,CCB.06.018,Branch / Regional Operations,45,Team Member,43134,9,263,,37193,42756,50149,,44262,9,263,,39451,42756,52169,,45861,9,263,,41581,44205,53220,,
154,Actual Data,Operations,CCB.06.018,Branch / Regional Operations,46,Team Member,56481,9,452,,48758,54821,62900,,57544,9,452,,49398,55131,62900,,60264,9,452,,54184,58933,63118,,
155,Actual Data,Operations,CCB.06.018,Branch / Regional Operations,47,Team Member,67186,10,1214,53971,64155,67291,71421,77665,68069,10,1214,58052,64243,67753,72235,77990,71020,10,1214,63398,67257,70027,75024,80545,
156,Actual Data,Operations,CCB.06.018,Branch / Regional Operations,48,Team Member,85570,8,133,,82989,85553,87637,,86677,8,133,,83492,87055,88429,,90432,8,133,,86053,89110,95641,,
157,Actual Data,Operations,CCB.06.018,Branch / Regional Operations,49,Team Member,100683,10,3247,84305,90933,99833,107501,123108,101695,10,3247,88464,91073,102086,107501,123108,106404,10,3247,93597,95826,107411,112453,123954,
158,Actual Data,Operations,CCB.06.018,Branch / Regional Operations,50,Team Member,133132,4,952,,,126768,,,134555,4,952,,,129613,,,146686,4,952,,,142406,,,
159,Actual Data,Operations,CCB.06.018,Branch / Regional Operations,51,Team Leader,133901,3,39,,,,,,135616,3,39,,,,,,146958,3,39,,,,,,
160,Actual Data,Operations,CCB.06.018,Branch / Regional Operations,52,Team Leader,177273,3,61,,,,,,178973,3,61,,,,,,211536,3,61,,,,,,
161,Actual Data,Operations,CCB.06.044,ATM - Digital Banking Operations,45,Team Member,50308,4,13,,,49449,,,50503,4,13,,,49449,,,51286,4,13,,,51014,,,
162,Actual Data,Operations,CCB.06.044,ATM - Digital Banking Operations,46,Team Member,54147,8,100,,46236,54498,62519,,54521,8,100,,47088,54782,63485,,56448,8,100,,49420,57956,65477,,
163,Actual Data,Operations,CCB.06.044,ATM - Digital Banking Operations,47,Team Member,67899,8,140,,60958,67302,75531,,68276,8,140,,61026,67557,75531,,71481,8,140,,66168,71602,75784,,
164,Actual Data,Operations,CCB.06.044,ATM - Digital Banking Operations,48,Team Member,87494,4,20,,,84872,,,88054,4,20,,,85550,,,92970,4,20,,,90567,,,
165,Actual Data,Operations,CCB.06.044,ATM - Digital Banking Operations,49,Team Member,97008,5,135,,87554,101977,103977,,98135,5,135,,87717,101977,106631,,105341,5,135,,94027,106585,116033,,
166,Actual Data,Operations,CCB.06.044,ATM - Digital Banking Operations,50,Team Member,141264,7,48,,113700,144680,156435,,142075,7,48,,113700,148754,157845,,150354,7,48,,116366,156251,168105,,
167,Actual Data,Operations,CCB.06.044,ATM - Digital Banking Operations,51,Team Leader,142298,4,10,,,141703,,,142351,4,10,,,141703,,,158462,4,10,,,148378,,,
168,Actual Data,Operations,CCB.06.044,ATM - Digital Banking Operations,52,Team Leader,185244,4,9,,,182693,,,185297,4,9,,,182798,,,201137,4,9,,,205011,,,
169,Actual Data,Operations,CCB.06.044,ATM - Digital Banking Operations,54,Team Leader,286135,5,11,,253456,295452,314155,,295560,5,11,,274225,295663,316843,,322602,5,11,,300612,317423,347181,,
170,Actual Data,Operations,CCB.06.044,ATM - Digital Banking Operations,56,Manager,352419,4,4,,,331924,,,352482,4,4,,,332051,,,418941,4,4,,,409455,,,
171,Actual Data,Operations,CCB.06.999,Foreign Exchange Operations,45,Team Member,48607,5,61,,42932,47160,55006,,49020,5,61,,42932,47160,56039,,49407,5,61,,42932,47160,57007,,
172,Actual Data,Operations,CCB.06.999,Foreign Exchange Operations,46,Team Member,57744,6,61,,50344,60474,66133,,59000,6,61,,51316,61236,67334,,61841,6,61,,54538,63114,70968,,
173,Actual Data,Operations,CCB.06.999,Foreign Exchange Operations,47,Team Member,65843,9,83,,64005,65264,67672,,67173,9,83,,64005,65576,72947,,69957,9,83,,65151,68097,76319,,
174,Actual Data,Operations,CCB.06.999,Foreign Exchange Operations,49,Team Member,98898,7,139,,90448,106048,111839,,101043,7,139,,90887,110886,116981,,108295,7,139,,94411,117812,130259,,
175,Actual Data,Operations,CCB.06.999,Foreign Exchange Operations,50,Team Member,130338,6,123,,109471,125741,148845,,133369,6,123,,109471,125784,159327,,139464,6,123,,112144,128876,172477,,
176,Actual Data,Operations,CCB.06.999,Foreign Exchange Operations,51,Team Leader,137676,3,7,,,,,,137676,3,7,,,,,,145627,3,7,,,,,,
177,Actual Data,Operations,CCB.06.999,Foreign Exchange Operations,52,Team Leader,191002,3,11,,,,,,191002,3,11,,,,,,200118,3,11,,,,,,
178,Actual Data,Operations,CCB.06.999,Foreign Exchange Operations,54,Team Leader,239708,6,20,,213134,238716,261412,,251382,6,20,,213352,238830,292681,,287267,6,20,,249168,276009,331747,,
179,Actual Data,Corporate Banking,CMB.03.024,Corporate Banking Customer Management & Branch Manager,47,Team Member,65098,9,84,,58979,64361,70190,,67051,9,84,,58979,64361,75490,,73384,9,84,,62450,75480,80361,,
180,Actual Data,Corporate Banking,CMB.03.024,Corporate Banking Customer Management & Branch Manager,49,Team Member,81285,10,77,62207,73304,83640,86639,102313,82632,10,77,65615,73361,84851,88782,102919,92029,10,77,74566,79992,89430,101898,120457,
181,Actual Data,Corporate Banking,CMB.03.024,Corporate Banking Customer Management & Branch Manager,50,Team Member,130761,8,106,,108102,124772,155980,,133337,8,106,,108672,126364,159765,,150373,8,106,,131780,150164,170293,,
182,Actual Data,Corporate Banking,CMB.03.024,Corporate Banking Customer Management & Branch Manager,51,Team Leader,134035,8,88,,121384,131058,148794,,134569,8,88,,122916,131058,148794,,146620,8,88,,132460,145755,163164,,
183,Actual Data,Corporate Banking,CMB.03.024,Corporate Banking Customer Management & Branch Manager,52,Team Leader,179868,8,89,,165272,181374,191173,,181585,8,89,,165272,181374,191173,,203723,8,89,,188603,194081,228330,,
184,Actual Data,Corporate Banking,CMB.03.024,Corporate Banking Customer Management & Branch Manager,54,Team Leader,233780,8,73,,195730,213430,286559,,239210,8,73,,195795,214252,310529,,279483,8,73,,228774,273473,356658,,
185,Actual Data,Corporate Banking,CMB.03.024,Corporate Banking Customer Management & Branch Manager,55,Team Leader,274798,4,11,,,280190,,,274798,4,11,,,280190,,,295713,4,11,,,299525,,,
186,Actual Data,Corporate Banking,CMB.03.024,Corporate Banking Customer Management & Branch Manager,56,Manager,362992,7,41,,327972,358400,399798,,363729,7,41,,327972,358400,399798,,438181,7,41,,403224,442341,462039,,
187,Actual Data,Corporate Banking,CMB.03.024,Corporate Banking Customer Management & Branch Manager,57,Manager,439081,6,6,,376419,422547,493316,,439081,6,6,,376419,422547,493316,,529646,6,6,,458245,545358,599681,,
188,Actual Data,Corporate Banking,CMB.03.024,Corporate Banking Customer Management & Branch Manager,58,Manager,479699,6,15,,434350,481328,519242,,479699,6,15,,434350,481328,519242,,598127,6,15,,523952,606084,676831,,
189,Actual Data,Corporate Banking,CMB.03.024,Corporate Banking Customer Management & Branch Manager,59,Director,547461,3,8,,,,,,558203,3,8,,,,,,848062,3,8,,,,,,
190,Actual Data,Corporate Banking,CMB.03.025,Correspondent Banking,47,Team Member,66945,6,14,,62295,66228,72024,,69362,6,14,,62295,66228,80113,,72526,6,14,,62295,71411,82579,,
191,Actual Data,Corporate Banking,CMB.03.025,Correspondent Banking,49,Team Member,88932,3,8,,,,,,92232,3,8,,,,,,104427,3,8,,,,,,
192,Actual Data,Corporate Banking,CMB.03.025,Correspondent Banking,50,Team Member,130276,9,21,,117392,133008,143548,,132176,9,21,,117392,133008,143548,,148584,9,21,,124420,143010,166956,,
193,Actual Data,Corporate Banking,CMB.03.025,Correspondent Banking,51,Team Leader,136162,3,8,,,,,,141330,3,8,,,,,,161880,3,8,,,,,,
194,Actual Data,Corporate Banking,CMB.03.025,Correspondent Banking,52,Team Leader,185476,5,8,,168137,181328,204888,,188296,5,8,,168137,195428,204888,,224789,5,8,,202765,229840,244287,,
195,Actual Data,Corporate Banking,CMB.03.025,Correspondent Banking,54,Team Leader,218326,5,10,,177000,215544,261042,,230093,5,10,,185543,215755,281811,,266620,5,10,,197150,267740,335530,,
196,Actual Data,Corporate Banking,CMB.03.025,Correspondent Banking,55,Team Leader,244093,4,4,,,249941,,,248539,4,4,,,258728,,,295137,4,4,,,298407,,,
197,Actual Data,Corporate Banking,CMB.03.025,Correspondent Banking,56,Manager,340401,5,5,,317474,328311,369372,,340401,5,5,,317474,328311,369372,,416714,5,5,,338155,457514,474872,,
198,Actual Data,Corporate Banking,CMB.03.050,Cash Management,47,Team Member,56280,5,7,,47820,56172,64793,,56280,5,7,,47820,56172,64793,,59975,5,7,,49578,62372,69174,,
199,Actual Data,Corporate Banking,CMB.03.050,Cash Management,49,Team Member,97158,5,12,,86737,91842,110238,,98646,5,12,,86737,91842,113956,,107033,5,12,,93023,100909,124105,,
200,Actual Data,Corporate Banking,CMB.03.050,Cash Management,50,Team Member,125590,8,92,,105764,129351,143683,,127077,8,92,,105764,129351,143758,,136160,8,92,,109273,136480,157285,,
201,Actual Data,Corporate Banking,CMB.03.050,Cash Management,51,Team Leader,139147,3,14,,,,,,139236,3,14,,,,,,154051,3,14,,,,,,
202,Actual Data,Corporate Banking,CMB.03.050,Cash Management,52,Team Leader,188868,5,23,,175821,184080,204308,,189823,5,23,,175859,184080,206658,,201234,5,23,,178040,204359,222866,,
203,Actual Data,Corporate Banking,CMB.03.050,Cash Management,53,Team Leader,225488,4,5,,,225856,,,225488,4,5,,,225856,,,248896,4,5,,,245628,,,
204,Actual Data,Corporate Banking,CMB.03.050,Cash Management,54,Team Leader,221254,6,23,,155537,234339,270518,,228212,6,23,,155695,234339,280903,,251871,6,23,,168820,255131,321307,,
205,Actual Data,Corporate Banking,CMB.03.050,Cash Management,56,Manager,347980,3,7,,,,,,347980,3,7,,,,,,395881,3,7,,,,,,
206,Actual Data,Corporate Banking,CMB.03.051,Project Finance,47,Team Member,69219,5,14,,65716,69936,72365,,72564,5,14,,67833,70829,78163,,73457,5,14,,67833,73458,79081,,
207,Actual Data,Corporate Banking,CMB.03.051,Project Finance,49,Team Member,92617,5,15,,84828,93644,99892,,95557,5,15,,85128,95004,106262,,105396,5,15,,94719,106880,115333,,
208,Actual Data,Corporate Banking,CMB.03.051,Project Finance,50,Team Member,139319,10,39,100244,117374,141403,162357,166265,141806,10,39,100244,124638,141403,162495,179490,156809,10,39,105948,134209,152050,185397,217411,
209,Actual Data,Corporate Banking,CMB.03.051,Project Finance,51,Team Leader,132098,3,7,,,,,,132098,3,7,,,,,,137372,3,7,,,,,,
210,Actual Data,Corporate Banking,CMB.03.051,Project Finance,52,Team Leader,178676,4,9,,,172258,,,183973,4,9,,,181604,,,213728,4,9,,,201737,,,
211,Actual Data,Corporate Banking,CMB.03.051,Project Finance,53,Team Leader,248551,3,6,,,,,,248551,3,6,,,,,,289279,3,6,,,,,,
212,Actual Data,Corporate Banking,CMB.03.051,Project Finance,54,Team Leader,239452,5,17,,201191,246850,274013,,249015,5,17,,201297,246850,297817,,287684,5,17,,222627,287402,352881,,
213,Actual Data,Corporate Banking,CMB.03.051,Project Finance,55,Team Leader,264737,5,8,,259802,266400,268840,,273087,5,8,,259908,266400,289609,,340956,5,8,,319363,324519,370767,,
214,Actual Data,Corporate Banking,CMB.03.051,Project Finance,56,Manager,400596,4,4,,,393977,,,410981,4,4,,,414185,,,516487,4,4,,,487015,,,
215,Actual Data,Corporate Banking,CMB.03.051,Project Finance,59,Director,513428,3,3,,,,,,513513,3,3,,,,,,693258,3,3,,,,,,
216,Actual Data,Operations,CMB.04.002,Treasury Middle Office,50,Team Member,129248,3,4,,,,,,133948,3,4,,,,,,149113,3,4,,,,,,
217,Actual Data,Operations,CMB.05.003,Treasury Operations,46,Team Member,54112,6,11,,44966,54714,62866,,54702,6,11,,44966,54714,63751,,56770,6,11,,47119,56859,64553,,
218,Actual Data,Operations,CMB.05.003,Treasury Operations,47,Team Member,67012,7,39,,60390,69400,73478,,67573,7,39,,60390,69400,74130,,70926,7,39,,65936,74490,77929,,
219,Actual Data,Operations,CMB.05.003,Treasury Operations,48,Team Member,88628,7,20,,83880,87512,94680,,90047,7,20,,83880,87512,99930,,94649,7,20,,83880,92153,106484,,
220,Actual Data,Operations,CMB.05.003,Treasury Operations,49,Team Member,96822,8,64,,82613,98114,113152,,98026,8,64,,82613,101280,113152,,105251,8,64,,91016,110478,117709,,
221,Actual Data,Operations,CMB.05.003,Treasury Operations,50,Team Member,133358,10,89,96324,114289,131391,147727,185338,134675,10,89,96324,114289,131391,154856,185888,144647,10,89,97156,119910,142621,168694,201650,
222,Actual Data,Operations,CMB.05.003,Treasury Operations,52,Team Leader,188201,4,4,,,191570,,,188201,4,4,,,191570,,,198040,4,4,,,205924,,,
223,Actual Data,Operations,CMB.05.003,Treasury Operations,54,Team Leader,267545,7,30,,219258,242124,310490,,272191,7,30,,219258,242124,342798,,309107,7,30,,255174,277515,369374,,
224,Actual Data,Call Center,CSV.02.051,Call Center,49,Team Member,80260,3,13,,,,,,80260,3,13,,,,,,87827,3,13,,,,,,
225,Actual Data,Call Center,CSV.02.051,Call Center,50,Team Member,123562,3,8,,,,,,123562,3,8,,,,,,129923,3,8,,,,,,
226,Actual Data,Call Center,CSV.02.051,Call Center,54,Team Leader,228597,3,3,,,,,,242443,3,3,,,,,,274425,3,3,,,,,,
227,Actual Data,Call Center,CSV.02.051,Call Center,56,Manager,367609,3,4,,,,,,381455,3,4,,,,,,436498,3,4,,,,,,
228,Actual Data,Call Center,CSV.02.056,Call Center - Internal and External Calls,45,Team Member,39155,9,2904,,32610,34387,42939,,39939,9,2904,,33650,36317,43621,,44116,9,2904,,39116,41708,47452,,
229,Actual Data,Call Center,CSV.02.056,Call Center - Internal and External Calls,46,Team Member,50172,8,1317,,38624,48228,56633,,50923,8,1317,,39669,48230,59166,,56832,8,1317,,50388,54675,62167,,
230,Actual Data,Call Center,CSV.02.056,Call Center - Internal and External Calls,47,Team Member,62218,9,195,,52584,60876,72460,,62982,9,195,,54230,60876,73515,,70377,9,195,,58458,71187,78769,,
231,Actual Data,Call Center,CSV.02.056,Call Center - Internal and External Calls,48,Team Member,82090,3,4,,,,,,83124,3,4,,,,,,96944,3,4,,,,,,
232,Actual Data,Call Center,CSV.02.056,Call Center - Internal and External Calls,49,Team Member,83612,5,106,,70758,84000,96273,,84103,5,106,,71627,84000,96631,,101578,5,106,,88735,100368,115027,,
233,Actual Data,Call Center,CSV.02.056,Call Center - Internal and External Calls,50,Team Member,127351,5,20,,117656,122808,139318,,129227,5,20,,117656,128295,141265,,137061,5,20,,126636,140733,145650,,
234,Actual Data,Call Center,CSV.02.056,Call Center - Internal and External Calls,51,Team Leader,138309,4,9,,,141481,,,138627,4,9,,,142011,,,153307,4,9,,,157633,,,
235,Actual Data,Call Center,CSV.02.056,Call Center - Internal and External Calls,52,Team Leader,185682,4,10,,,181062,,,186000,4,10,,,181168,,,213645,4,10,,,213181,,,
236,Actual Data,Call Center,CSV.02.056,Call Center - Internal and External Calls,54,Team Leader,255051,4,9,,,260065,,,267196,4,9,,,274317,,,317154,4,9,,,314393,,,
237,Actual Data,Call Center,CSV.02.122,Collections,45,Team Member,38002,5,454,,31217,31800,47888,,38002,5,454,,31217,31800,47888,,45272,5,454,,36904,47670,52442,,
238,Actual Data,Call Center,CSV.02.122,Collections,46,Team Member,44734,7,388,,35179,44275,51000,,44734,7,388,,35179,44275,51000,,51768,7,388,,49173,51000,54244,,
239,Actual Data,Call Center,CSV.02.122,Collections,47,Team Member,60268,7,253,,56695,60019,64428,,60268,7,253,,56695,60019,64428,,67971,7,253,,62832,67464,77045,,
240,Actual Data,Call Center,CSV.02.122,Collections,49,Team Member,90563,5,64,,71079,89491,110584,,90563,5,64,,71079,89491,110584,,105434,5,64,,85441,94884,130700,,
241,Actual Data,Call Center,CSV.02.122,Collections,50,Team Member,131467,4,52,,,125343,,,132034,4,52,,,125343,,,138319,4,52,,,130505,,,
242,Actual Data,Call Center,CSV.02.122,Collections,54,Team Leader,237392,3,10,,,,,,251238,3,10,,,,,,279580,3,10,,,,,,
243,Actual Data,Call Center,CSV.03.004,Complaint Management,45,Team Member,47191,5,26,,37767,46860,56781,,48497,5,26,,39537,46860,58276,,50553,5,26,,42787,46860,60165,,
244,Actual Data,Call Center,CSV.03.004,Complaint Management,46,Team Member,55893,6,68,,38080,53920,74924,,56906,6,68,,38080,56961,74924,,61197,6,68,,43293,60982,79097,,
245,Actual Data,Call Center,CSV.03.004,Complaint Management,47,Team Member,66012,8,98,,53905,71489,75000,,66665,8,98,,54818,71489,75000,,71783,8,98,,64067,76655,79215,,
246,Actual Data,Call Center,CSV.03.004,Complaint Management,49,Team Member,99386,7,41,,79666,90360,105603,,100942,7,41,,83854,90360,105603,,109810,7,41,,95636,97026,115144,,
247,Actual Data,Call Center,CSV.03.004,Complaint Management,50,Team Member,132766,4,15,,,128430,,,135431,4,15,,,131659,,,152727,4,15,,,148984,,,
248,Actual Data,Call Center,CSV.03.005,Quality,47,Team Member,67939,3,15,,,,,,67939,3,15,,,,,,74302,3,15,,,,,,
249,Actual Data,Call Center,CSV.03.005,Quality,49,Team Member,99342,3,23,,,,,,99342,3,23,,,,,,108596,3,23,,,,,,
250,Actual Data,Call Center,CSV.04.002,Planning and Monitoring,46,Team Member,50627,5,42,,45721,46659,57518,,50849,5,42,,45721,46987,57908,,53729,5,42,,49260,52138,58993,,
251,Actual Data,Call Center,CSV.04.002,Planning and Monitoring,47,Team Member,61521,5,61,,56444,61332,66692,,62932,5,61,,59164,62948,66692,,68875,5,61,,64936,66480,74010,,
252,Actual Data,Call Center,CSV.04.002,Planning and Monitoring,49,Team Member,94830,6,57,,84677,94047,106729,,95486,6,57,,84677,94047,108921,,104576,6,57,,92449,100954,118489,,
253,Actual Data,Call Center,CSV.04.002,Planning and Monitoring,50,Team Member,128071,5,17,,114122,126002,143054,,130342,5,17,,114122,126002,148732,,141878,5,17,,124684,146124,156950,,
254,Actual Data,Call Center,CSV.04.002,Planning and Monitoring,51,Team Leader,136894,3,3,,,,,,136965,3,3,,,,,,152859,3,3,,,,,,
255,Actual Data,Call Center,CSV.04.002,Planning and Monitoring,54,Team Leader,257358,3,4,,,,,,271204,3,4,,,,,,316291,3,4,,,,,,
256,Actual Data,Call Center,CSV.04.028,Training,46,Team Member,59658,3,29,,,,,,60565,3,29,,,,,,66994,3,29,,,,,,
257,Actual Data,Call Center,CSV.04.028,Training,47,Team Member,72772,5,11,,69368,73200,75962,,73395,5,11,,69368,73200,77518,,80943,5,11,,75788,79117,87011,,
258,Actual Data,Call Center,CSV.04.028,Training,49,Team Member,102335,4,15,,,95357,,,103989,4,15,,,98664,,,114893,4,15,,,105318,,,
259,Actual Data,Call Center,CSV.04.028,Training,50,Team Member,131755,4,8,,,131883,,,133370,4,8,,,133698,,,143685,4,8,,,143788,,,
260,Actual Data,Data Analytics,DAW.02.016,Data Analytics & Modeling,47,Team Member,67025,4,27,,,68505,,,67124,4,27,,,68702,,,69649,4,27,,,70079,,,
261,Actual Data,Data Analytics,DAW.02.016,Data Analytics & Modeling,48,Team Member,85374,3,11,,,,,,85819,3,11,,,,,,89248,3,11,,,,,,
262,Actual Data,Data Analytics,DAW.02.016,Data Analytics & Modeling,49,Team Member,98428,5,18,,81818,92322,118092,,101164,5,18,,81818,92622,124782,,106863,5,18,,87967,103129,127626,,
263,Actual Data,Data Analytics,DAW.02.016,Data Analytics & Modeling,50,Team Member,148860,7,49,,125732,146920,166200,,151541,7,49,,125868,159992,166200,,163054,7,49,,142897,170650,177575,,
264,Actual Data,Data Analytics,DAW.02.016,Data Analytics & Modeling,52,Team Leader,192135,5,13,,180937,192000,203400,,192135,5,13,,180937,192000,203400,,198002,5,13,,189648,192000,209357,,
265,Actual Data,Data Analytics,DAW.02.016,Data Analytics & Modeling,54,Team Leader,273054,4,23,,,264491,,,285018,4,23,,,285260,,,317780,4,23,,,312470,,,
266,Actual Data,Data Analytics,DAW.02.055,Business Intelligence,47,Team Member,68844,3,4,,,,,,68844,3,4,,,,,,71261,3,4,,,,,,
267,Actual Data,Data Analytics,DAW.02.055,Business Intelligence,49,Team Member,106077,3,16,,,,,,107227,3,16,,,,,,110076,3,16,,,,,,
268,Actual Data,Data Analytics,DAW.02.055,Business Intelligence,50,Team Member,166395,4,20,,,168587,,,170911,4,20,,,177619,,,180519,4,20,,,191292,,,
269,Actual Data,Data Analytics,DAW.02.055,Business Intelligence,54,Team Leader,305930,4,8,,,298937,,,316315,4,8,,,317719,,,342882,4,8,,,341947,,,
270,Actual Data,Financial Analysis,FIN.03.046,Financial Analysis,46,Team Member,63298,6,22,,54000,62931,71282,,64150,6,22,,54000,63146,74792,,65336,6,22,,54000,66248,75476,,
271,Actual Data,Financial Analysis,FIN.03.046,Financial Analysis,47,Team Member,71431,5,15,,66603,70466,76742,,74251,5,15,,66603,70466,83792,,76266,5,15,,68808,76133,83792,,
272,Actual Data,Financial Analysis,FIN.03.046,Financial Analysis,49,Team Member,95593,6,17,,86104,91112,105938,,95854,6,17,,86104,91112,106330,,102447,6,17,,92634,96890,113262,,
273,Actual Data,Financial Analysis,FIN.03.046,Financial Analysis,50,Team Member,139419,10,51,94079,109665,151043,161972,170676,141467,10,51,94079,109665,151043,167053,170819,150957,10,51,103736,110461,162937,178163,181846,
274,Actual Data,Financial Analysis,FIN.03.046,Financial Analysis,52,Team Leader,185175,5,14,,167563,177549,206600,,187275,5,14,,167563,177549,211850,,201676,5,14,,175773,185461,235686,,
275,Actual Data,Financial Analysis,FIN.03.046,Financial Analysis,54,Team Leader,239776,4,20,,,236790,,,250161,4,20,,,236790,,,285435,4,20,,,272299,,,
276,Actual Data,Financial Analysis,FIN.03.046,Financial Analysis,56,Manager,361136,6,10,,319418,333615,433428,,368946,6,10,,320750,333615,443812,,423130,6,10,,351571,388007,531345,,
277,Actual Data,Financial Analysis,FIN.03.046,Financial Analysis,57,Manager,372723,4,6,,,352640,,,383171,4,6,,,352767,,,455920,4,6,,,433295,,,
278,Actual Data,Financial Analysis,FIN.05.004,Budget Reporting,47,Team Member,66899,3,5,,,,,,66899,3,5,,,,,,70535,3,5,,,,,,
279,Actual Data,Financial Analysis,FIN.05.004,Budget Reporting,49,Team Member,86255,4,8,,,83439,,,86255,4,8,,,83439,,,88729,4,8,,,85005,,,
280,Actual Data,Financial Analysis,FIN.05.004,Budget Reporting,50,Team Member,138383,4,10,,,140283,,,138728,4,10,,,140283,,,149520,4,10,,,150151,,,
281,Actual Data,Financial Analysis,FIN.05.004,Budget Reporting,56,Manager,385046,3,3,,,,,,398892,3,3,,,,,,479111,3,3,,,,,,
282,Actual Data,Financial Analysis,FIN.05.004,Budget Reporting,57,Manager,324026,3,3,,,,,,324110,3,3,,,,,,401850,3,3,,,,,,
283,Actual Data,Accounting,FIN.06.001,Accounting,45,Team Member,42136,7,18,,37776,38467,45257,,42489,7,18,,37776,38467,45257,,43315,7,18,,37776,40728,45897,,
284,Actual Data,Accounting,FIN.06.001,Accounting,46,Team Member,56598,7,39,,47024,52472,66784,,57000,7,39,,47024,52902,66784,,59591,7,39,,50602,53337,67490,,
285,Actual Data,Accounting,FIN.06.001,Accounting,47,Team Member,66844,11,46,53591,57363,67827,78000,79081,67022,11,46,53591,57363,67827,78604,79236,70320,11,46,54182,59843,69881,79200,83194,
286,Actual Data,Accounting,FIN.06.001,Accounting,48,Team Member,92043,3,7,,,,,,92043,3,7,,,,,,94009,3,7,,,,,,
287,Actual Data,Accounting,FIN.06.001,Accounting,49,Team Member,102745,9,56,,90383,97166,116496,,103193,9,56,,90383,97166,118513,,110454,9,56,,96265,104006,125012,,
288,Actual Data,Accounting,FIN.06.001,Accounting,50,Team Member,135007,8,39,,113885,136290,151414,,135588,8,39,,113885,136290,154895,,145566,8,39,,113885,146610,170475,,
289,Actual Data,Accounting,FIN.06.001,Accounting,52,Team Leader,177732,5,10,,170774,175392,185860,,179559,5,10,,170774,175603,190323,,193361,5,10,,178326,193125,208515,,
290,Actual Data,Accounting,FIN.06.001,Accounting,53,Team Leader,245022,3,5,,,,,,245092,3,5,,,,,,286259,3,5,,,,,,
291,Actual Data,Accounting,FIN.06.001,Accounting,54,Team Leader,286623,5,7,,246146,254431,343195,,321299,5,7,,246146,254431,429887,,361845,5,7,,269488,308860,480694,,
292,Actual Data,Accounting,FIN.06.002,Financial Reporting,46,Team Member,61158,5,14,,52396,61200,69900,,61314,5,14,,52396,61200,70290,,63181,5,14,,55897,63529,70290,,
293,Actual Data,Accounting,FIN.06.002,Financial Reporting,47,Team Member,69278,7,28,,67026,69966,72138,,69965,7,28,,68664,71055,72153,,72720,7,28,,72402,73875,74981,,
294,Actual Data,Accounting,FIN.06.002,Financial Reporting,48,Team Member,90210,3,12,,,,,,91265,3,12,,,,,,99219,3,12,,,,,,
295,Actual Data,Accounting,FIN.06.002,Financial Reporting,49,Team Member,97206,8,39,,87252,92524,108261,,98966,8,39,,87252,93405,108261,,103562,8,39,,89309,96876,113509,,
296,Actual Data,Accounting,FIN.06.002,Financial Reporting,50,Team Member,147089,8,76,,132804,147032,158871,,149965,8,76,,133094,150636,169848,,161891,8,76,,148823,163942,181845,,
297,Actual Data,Accounting,FIN.06.002,Financial Reporting,52,Team Leader,187157,5,13,,170238,182459,206425,,191939,5,13,,170238,191759,213729,,204313,5,13,,178741,208474,227805,,
298,Actual Data,Accounting,FIN.06.002,Financial Reporting,53,Team Leader,235517,4,5,,,235534,,,240372,4,5,,,238924,,,255764,4,5,,,250902,,,
